cursor_ 1,cursor_ 2,cursor_ 3,cursor_ 4,cursor_ 5,cursor_ 6,cursor_ 7,cursor_ 8,cursor_ 9,cursor_10,cursor_11,cursor_12,cursor_13,cursor_14,cursor_15,cursor_16,cursor_17,cursor_18,cursor_19,cursor_20,cursor_21,cursor_22,cursor_23,cursor_24,cursor_25,cursor_26,cursor_27,cursor_28,cursor_29,cursor_30,colour_ 1,colour_ 2,colour_ 3,colour_ 4,colour_ 5,colour_ 6,colour_ 7,colour_ 8,colour_ 9,colour_10,colour_11,colour_12,colour_13,colour_14,colour_15,colour_16,colour_17,colour_18,colour_19,colour_20,colour_21,colour_22,colour_23,colour_24,colour_25,colour_26,colour_27,colour_28,colour_29,colour_30,target_ 1,target_ 2,target_ 3,target_ 4,target_ 5,target_ 6,target_ 7,target_ 8,target_ 9,target_10,target_11,target_12,target_13,target_14,target_15,target_16,target_17,target_18,target_19,target_20,target_21,target_22,target_23,target_24,target_25,target_26,target_27,target_28,target_29,target_30
0.0126111288361544,0.0093775060576532,0.0093775060576532,0.0093775060576532,0.0093775060576532,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0221503160327328,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0918348869094326,0.0126111288361544,0.0410670092869646,0.0093775060576532,0.0126111288361544,0.0093775060576532,0.0126111288361544,0.0158447516146555,0.0126111288361544,0.0126111288361544,0.0158447516146555,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0126111288361544,0.0126111288361544,0.0093775060576532,0.0093775060576532,0.0093775060576532,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0221503160327328,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0918348869094326,0.0158447516146555,0.0410670092869646,0.0093775060576532,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0158447516146555,0.0126111288361544,0.0126111288361544,0.0158447516146555,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0.00256345914346089,0.00256345914346089,0.00256345914346089,0.00256345914346089,0.00256345914346089,0.00256345914346089,0.00256345914346089,0.00256345914346089,0.00256345914346089,0.00256345914346089,0.00256345914346089,0.00256345914346089,0.00256345914346089,0.00256345914346089,0.00256345914346089,0.00256345914346089,0.00256345914346089,0.00256345914346089,0.00256345914346089,0.00256345914346089,0.00256345914346089,0.00256345914346089,0.00256345914346089,0.00256345914346089,0.00256345914346089,0.00256345914346089,0.00256345914346089,0.00256345914346089,0.00256345914346089,0.00256345914346089
0.0126111288361544,0.0093775060576532,0.0093775060576532,0.0093775060576532,0.0093775060576532,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0221503160327328,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0918348869094326,0.0158447516146555,0.0410670092869646,0.0093775060576532,0.0126111288361544,0.0093775060576532,0.0126111288361544,0.0158447516146555,0.0126111288361544,0.0126111288361544,0.0126111288361544,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0.0102136538032992,0.0102136538032992,0.0102136538032992,0.0102136538032992,0.0102136538032992,0.0102136538032992,0.0102136538032992,0.0102136538032992,0.0102136538032992,0.0102136538032992,0.0102136538032992,0.0102136538032992,0.0102136538032992,0.0102136538032992,0.0102136538032992,0.0102136538032992,0.0102136538032992,0.0102136538032992,0.0102136538032992,0.0102136538032992,0.0102136538032992,0.0102136538032992,0.0102136538032992,0.0102136538032992,0.0102136538032992,0.0102136538032992,0.0102136538032992,0.0102136538032992,0.0102136538032992,0.0102136538032992
0.0126111288361544,0.0126111288361544,0.0093775060576532,0.0093775060576532,0.0093775060576532,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0221503160327328,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0918348869094326,0.0126111288361544,0.0410670092869646,0.0093775060576532,0.0126111288361544,0.0093775060576532,0.0126111288361544,0.0158447516146555,0.0126111288361544,0.0126111288361544,0.0158447516146555,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0.0228307830038567,0.0228307830038567,0.0228307830038567,0.0228307830038567,0.0228307830038567,0.0228307830038567,0.0228307830038567,0.0228307830038567,0.0228307830038567,0.0228307830038567,0.0228307830038567,0.0228307830038567,0.0228307830038567,0.0228307830038567,0.0228307830038567,0.0228307830038567,0.0228307830038567,0.0228307830038567,0.0228307830038567,0.0228307830038567,0.0228307830038567,0.0228307830038567,0.0228307830038567,0.0228307830038567,0.0228307830038567,0.0228307830038567,0.0228307830038567,0.0228307830038567,0.0228307830038567,0.0228307830038567
0.0126111288361544,0.0093775060576532,0.0093775060576532,0.0093775060576532,0.0093775060576532,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0410670092869646,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0950685096879338,0.0158447516146555,0.0410670092869646,0.0093775060576532,0.0126111288361544,0.0093775060576532,0.0126111288361544,0.0158447516146555,0.0126111288361544,0.0126111288361544,0.0158447516146555,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0.0402176546101507,0.0402176546101507,0.0402176546101507,0.0402176546101507,0.0402176546101507,0.0402176546101507,0.0402176546101507,0.0402176546101507,0.0402176546101507,0.0402176546101507,0.0402176546101507,0.0402176546101507,0.0402176546101507,0.0402176546101507,0.0402176546101507,0.0402176546101507,0.0402176546101507,0.0402176546101507,0.0402176546101507,0.0402176546101507,0.0402176546101507,0.0402176546101507,0.0402176546101507,0.0402176546101507,0.0402176546101507,0.0402176546101507,0.0402176546101507,0.0402176546101507,0.0402176546101507,0.0402176546101507
0.0126111288361544,0.0093775060576532,0.0093775060576532,0.0093775060576532,0.0093775060576532,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0664509480981985,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.104607696884512,0.0158447516146555,0.0410670092869646,0.0093775060576532,0.0126111288361544,0.0093775060576532,0.0126111288361544,0.0158447516146555,0.0126111288361544,0.0126111288361544,0.0126111288361544,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0.06210334750864,0.06210334750864,0.06210334750864,0.06210334750864,0.06210334750864,0.06210334750864,0.06210334750864,0.06210334750864,0.06210334750864,0.06210334750864,0.06210334750864,0.06210334750864,0.06210334750864,0.06210334750864,0.06210334750864,0.06210334750864,0.06210334750864,0.06210334750864,0.06210334750864,0.06210334750864,0.06210334750864,0.06210334750864,0.06210334750864,0.06210334750864,0.06210334750864,0.06210334750864,0.06210334750864,0.06210334750864,0.06210334750864,0.06210334750864
0.0126111288361544,0.0093775060576532,0.0093775060576532,0.0126111288361544,0.0093775060576532,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0696845708766997,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.117218825720667,0.0126111288361544,0.0410670092869646,0.0093775060576532,0.0126111288361544,0.0093775060576532,0.0126111288361544,0.0158447516146555,0.0126111288361544,0.0126111288361544,0.0158447516146555,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0881482356635133,0.0881482356635133,0.0881482356635133,0.0881482356635133,0.0881482356635133,0.0881482356635133,0.0881482356635133,0.0881482356635133,0.0881482356635133,0.0881482356635133,0.0881482356635133,0.0881482356635133,0.0881482356635133,0.0881482356635133,0.0881482356635133,0.0881482356635133,0.0881482356635133,0.0881482356635133,0.0881482356635133,0.0881482356635133,0.0881482356635133,0.0881482356635133,0.0881482356635133,0.0881482356635133,0.0881482356635133,0.0881482356635133,0.0881482356635133,0.0881482356635133,0.0881482356635133,0.0881482356635133
0.0126111288361544,0.0126111288361544,0.0093775060576532,0.0158447516146555,0.0093775060576532,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0696845708766997,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.126758012917245,0.0126111288361544,0.0410670092869646,0.0093775060576532,0.0126111288361544,0.0093775060576532,0.0126111288361544,0.0158447516146555,0.0126111288361544,0.0126111288361544,0.0126111288361544,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.117950273629216,0.117950273629216,0.117950273629216,0.117950273629216,0.117950273629216,0.117950273629216,0.117950273629216,0.117950273629216,0.117950273629216,0.117950273629216,0.117950273629216,0.117950273629216,0.117950273629216,0.117950273629216,0.117950273629216,0.117950273629216,0.117950273629216,0.117950273629216,0.117950273629216,0.117950273629216,0.117950273629216,0.117950273629216,0.117950273629216,0.117950273629216,0.117950273629216,0.117950273629216,0.117950273629216,0.117950273629216,0.117950273629216,0.117950273629216
0.0126111288361544,0.0093775060576532,0.0093775060576532,0.0126111288361544,0.0093775060576532,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0696845708766997,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.126758012917245,0.0158447516146555,0.0410670092869646,0.0093775060576532,0.0126111288361544,0.0093775060576532,0.0126111288361544,0.0158447516146555,0.0126111288361544,0.0126111288361544,0.0158447516146555,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.151052418029117,0.151052418029117,0.151052418029117,0.151052418029117,0.151052418029117,0.151052418029117,0.151052418029117,0.151052418029117,0.151052418029117,0.151052418029117,0.151052418029117,0.151052418029117,0.151052418029117,0.151052418029117,0.151052418029117,0.151052418029117,0.151052418029117,0.151052418029117,0.151052418029117,0.151052418029117,0.151052418029117,0.151052418029117,0.151052418029117,0.151052418029117,0.151052418029117,0.151052418029117,0.151052418029117,0.151052418029117,0.151052418029117,0.151052418029117
0.0093775060576532,0.0093775060576532,0.0093775060576532,0.0158447516146555,0.0093775060576532,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0696845708766997,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.126758012917245,0.0126111288361544,0.0410670092869646,0.0093775060576532,0.0126111288361544,0.0093775060576532,0.0126111288361544,0.0158447516146555,0.0126111288361544,0.0126111288361544,0.0126111288361544,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.186951037048116,0.186951037048116,0.186951037048116,0.186951037048116,0.186951037048116,0.186951037048116,0.186951037048116,0.186951037048116,0.186951037048116,0.186951037048116,0.186951037048116,0.186951037048116,0.186951037048116,0.186951037048116,0.186951037048116,0.186951037048116,0.186951037048116,0.186951037048116,0.186951037048116,0.186951037048116,0.186951037048116,0.186951037048116,0.186951037048116,0.186951037048116,0.186951037048116,0.186951037048116,0.186951037048116,0.186951037048116,0.186951037048116,0.186951037048116
0.0126111288361544,0.0126111288361544,0.0093775060576532,0.0158447516146555,0.0093775060576532,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0918348869094326,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.126758012917245,0.0158447516146555,0.0410670092869646,0.0093775060576532,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0158447516146555,0.0126111288361544,0.0126111288361544,0.0158447516146555,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.225105140597734,0.225105140597734,0.225105140597734,0.225105140597734,0.225105140597734,0.225105140597734,0.225105140597734,0.225105140597734,0.225105140597734,0.225105140597734,0.225105140597734,0.225105140597734,0.225105140597734,0.225105140597734,0.225105140597734,0.225105140597734,0.225105140597734,0.225105140597734,0.225105140597734,0.225105140597734,0.225105140597734,0.225105140597734,0.225105140597734,0.225105140597734,0.225105140597734,0.225105140597734,0.225105140597734,0.225105140597734,0.225105140597734,0.225105140597734
0.0093775060576532,0.0093775060576532,0.0093775060576532,0.0158447516146555,0.0093775060576532,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.113985202942165,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.142602764531901,0.0126111288361544,0.0410670092869646,0.0093775060576532,0.0126111288361544,0.0093775060576532,0.0126111288361544,0.0158447516146555,0.0126111288361544,0.0126111288361544,0.0126111288361544,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.26494624789455,0.26494624789455,0.26494624789455,0.26494624789455,0.26494624789455,0.26494624789455,0.26494624789455,0.26494624789455,0.26494624789455,0.26494624789455,0.26494624789455,0.26494624789455,0.26494624789455,0.26494624789455,0.26494624789455,0.26494624789455,0.26494624789455,0.26494624789455,0.26494624789455,0.26494624789455,0.26494624789455,0.26494624789455,0.26494624789455,0.26494624789455,0.26494624789455,0.26494624789455,0.26494624789455,0.26494624789455,0.26494624789455,0.26494624789455
0.0126111288361544,0.0126111288361544,0.0093775060576532,0.0189166932542316,0.0093775060576532,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.1393691417534,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.0126111288361544,0.193208961015444,0.0126111288361544,0.0410670092869646,0.0093775060576532,0.0126111288361544,0.0093775060576532,0.0126111288361544,0.0158447516146555,0.0126111288361544,0.0126111288361544,0.0158447516146555,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.305888697071643,0.305888697071643,0.305888697071643,0.305888697071643,0.305888697071643,0.305888697071643,0.305888697071643,0.305888697071643,0.305888697071643,0.305888697071643,0.305888697071643,0.305888697071643,0.305888697071643,0.305888697071643,0.305888697071643,0.305888697071643,0.305888697071643,0.305888697071643,0.305888697071643,0.305888697071643,0.305888697071643,0.305888697071643,0.305888697071643,0.305888697071643,0.305888697071643,0.305888697071643,0.305888697071643,0.305888697071643,0.305888697071643,0.305888697071643
